,Film Name, Box Office Gross 
75,Black Swan (2010)," $106,954,678.00 "
76,The Fighter (2010)," $93,617,009.00 "
77,Inception (2010)," $292,576,195.00 "
78,The Kids Are All Right (2010)," $20,811,365.00 "
79,The King's Speech (2010)," $135,453,143.00 "
80,127 Hours (2010)," $18,335,230.00 "
81,The Social Network (2010)," $96,962,694.00 "
82,Toy Story 3 (2010)," $415,004,880.00 "
83,True Grit (2010)," $171,243,005.00 "
84,Winter's Bone (2010)," $6,531,503.00 "
213,Avatar (2009)," $749,766,139.00 "
214,The Blind Side (2009)," $255,959,475.00 "
215,District 9 (2009)," $115,646,235.00 "
216,An Education (2009)," $12,574,914.00 "
217,The Hurt Locker (2009)," $17,017,811.00 "
218,Inglourious Basterds (2009)," $120,540,719.00 "
219,Precious: Based on the Novel 'Push' by Sapphire (2009)," $47,566,524.00 "
220,A Serious Man (2009)," $9,228,768.00 "
221,Up (2009)," $293,004,164.00 "
222,Up in the Air (2009)," $83,823,381.00 "
348,The Curious Case of Benjamin Button (2008)," $127,509,326.00 "
349,Frost/Nixon (2008)," $18,622,031.00 "
350,Milk (2008)," $31,841,299.00 "
351,The Reader (2008)," $34,194,407.00 "
352,Slumdog Millionaire (2008)," $141,319,928.00 "
468,Atonement (2007)," $50,927,067.00 "
469,Juno (2007)," $143,495,265.00 "
470,Michael Clayton (2007)," $49,033,882.00 "
471,No Country for Old Men (2007)," $74,283,625.00 "
472,There Will Be Blood (2007)," $40,222,514.00 "
595,Babel (2006)," $34,302,837.00 "
596,The Departed (2006)," $132,384,315.00 "
597,Letters from Iwo Jima (2006)," $13,756,082.00 "
598,Little Miss Sunshine (2006)," $59,891,098.00 "
599,The Queen (2006)," $56,441,711.00 "
723,Brokeback Mountain (2005)," $83,043,761.00 "
724,Capote (2005)," $28,750,530.00 "
725,Crash (2005)," $54,580,300.00 "
726,"Good Night, and Good Luck. (2005)"," $31,558,003.00 "
727,Munich (2005)," $47,403,685.00 "
855,The Aviator (2004)," $102,610,330.00 "
856,Finding Neverland (2004)," $51,680,613.00 "
857,Million Dollar Baby (2004)," $100,492,203.00 "
858,Ray (2004)," $75,331,600.00 "
859,Sideways (2004)," $71,503,593.00 "
982,The Lord of the Rings: The Return of the King (2003)," $337,027,325.00 "
983,Lost in Translation (2003)," $44,585,453.00 "
984,Master and Commander: The Far Side of the World (2003)," $93,927,920.00 "
985,Mystic River (2003)," $90,135,191.00 "
986,Seabiscuit (2003)," $120,277,854.00 "
1106,Chicago (2002)," $170,687,518.00 "
1107,Gangs of New York (2002)," $77,812,000.00 "
1108,The Hours (2002)," $41,675,994.00 "
1109,The Lord of the Rings: The Two Towers (2002)," $339,789,881.00 "
1110,The Pianist (2002)," $32,572,577.00 "
1231,A Beautiful Mind (2001)," $170,742,341.00 "
1232,Gosford Park (2001)," $41,308,615.00 "
1233,In the Bedroom (2001)," $35,930,604.00 "
1234,The Lord of the Rings: The Fellowship of the Ring (2001)," $313,364,114.00 "
1235,Moulin Rouge (2001)," $57,386,607.00 "
1367,Chocolat (2000)," $71,509,363.00 "
1368,"Crouching Tiger, Hidden Dragon (2000)"," $128,078,872.00 "
1369,Erin Brockovich (2000)," $125,595,205.00 "
1370,Gladiator (2000)," $187,705,427.00 "
1371,Traffic (2000)," $124,115,725.00 "
1495,American Beauty (1999)," $130,096,601.00 "
1496,The Cider House Rules (1999)," $57,545,092.00 "
1497,The Green Mile (1999)," $136,801,374.00 "
1498,The Insider (1999)," $29,089,912.00 "
1499,The Sixth Sense (1999)," $293,506,292.00 "
1625,Elizabeth (1998)," $30,082,699.00 "
1626,Life Is Beautiful (1998)," $57,247,384.00 "
1627,Saving Private Ryan (1998)," $216,540,909.00 "
1628,Shakespeare in Love (1998)," $100,317,794.00 "
1629,The Thin Red Line (1998)," $36,400,491.00 "
