Year,Won?,Acting Noms,Acting Wins,Writing Noms,Writing Wins,Directing Noms,Directing Wins,Cinematography Noms,Cinematography Wins,Editing Noms,Editing Wins,Production Design Noms,Production Design Wins,Sound Noms,Sound Wins,Total Nominations,Total Wins
2010,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,4,1
2010,0,3,2,1,0,1,0,0,0,1,0,0,0,0,0,6,2
2010,0,0,0,1,0,0,0,1,1,0,0,1,0,3,2,6,3
2010,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
2010,1,3,1,1,1,1,1,1,0,1,0,2,0,2,0,11,3
2010,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,5,0
2010,0,1,0,1,1,1,0,1,0,1,1,0,0,2,1,7,3
2010,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,1
2010,0,2,0,1,0,1,0,1,0,0,0,2,0,2,0,9,0
2010,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
2009,0,0,0,0,0,1,0,1,1,1,0,1,1,3,0,7,2
2009,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2009,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0
2009,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2009,1,1,0,1,1,1,1,1,0,1,1,0,0,3,2,8,5
2009,0,1,1,1,0,1,0,1,0,1,0,0,0,2,0,7,1
2009,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,5,2
2009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2009,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,1
2009,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0
2008,0,2,0,1,0,1,0,1,0,1,0,3,2,2,0,11,2
2008,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,4,0
2008,0,2,1,1,1,1,0,0,0,1,0,1,0,1,0,7,2
2008,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,4,1
2008,1,0,0,1,1,1,1,1,1,1,1,0,0,5,3,9,7
2007,0,1,0,1,0,0,0,1,0,0,0,2,0,1,1,6,1
2007,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1
2007,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,6,1
2007,1,1,1,1,1,1,1,1,0,1,0,0,0,2,0,7,3
2007,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,7,2
2006,0,2,0,1,0,1,0,0,0,1,0,0,0,1,1,6,1
2006,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,4,3
2006,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,1
2006,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,2
2006,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,5,1
2005,0,3,0,1,1,1,1,1,0,0,0,0,0,1,1,7,3
2005,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1
2005,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,5,2
2005,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,5,0
2005,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4,0
2004,0,3,1,1,0,1,0,1,1,1,1,2,2,1,0,10,5
2004,0,1,0,1,0,0,0,0,0,1,0,2,0,1,1,6,1
2004,1,3,2,1,0,1,1,0,0,1,0,0,0,0,0,6,3
2004,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,5,2
2004,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,4,1
2003,1,0,0,1,1,1,1,0,0,1,1,3,3,3,3,9,9
2003,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1
2003,0,0,0,0,0,1,0,1,1,1,0,3,0,2,1,8,2
2003,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,5,2
2003,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0,6,0
2002,1,4,1,1,0,1,0,1,0,1,1,2,2,2,1,12,5
2002,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,9,0
2002,0,3,1,1,0,1,0,0,0,1,0,1,0,1,0,8,1
2002,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,4,1
2002,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,6,3
2001,1,2,1,1,1,1,1,0,0,1,0,1,0,1,0,7,3
2001,0,2,0,1,1,1,0,0,0,0,0,2,0,0,0,6,1
2001,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
2001,0,1,0,1,0,1,0,1,1,1,0,3,1,3,1,11,3
2001,0,1,0,0,0,0,0,1,0,1,0,3,2,1,0,7,2
2000,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0
2000,0,0,0,1,0,1,0,1,1,1,0,2,1,2,1,8,3
2000,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1
2000,1,2,1,1,0,1,0,1,0,1,0,2,1,2,1,10,3
2000,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,4,4
1999,1,2,1,1,1,1,1,1,1,1,0,0,0,1,0,7,4
1999,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,6,2
1999,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0
1999,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,6,0
1999,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,5,0
1998,0,1,0,0,0,0,0,1,0,0,0,3,1,1,0,6,1
1998,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,5,2
1998,0,1,0,1,0,1,1,1,1,1,1,2,0,3,2,10,5
